	year	joined_carrier_name	joined_carrier	arr_del15	carrier_ct	late_aircraft_ct	carrier_delay_percentage	carrier_late_aircraft_ct	total_carrier_delay_percentage
172	2009	Southwest Airlines Co.	WN	240300.0	61420.23999999998	119735.7700000001	0.25559816895547227	30604.243570473594	0.382956652394813
173	2010	Southwest Airlines Co.	WN	256617.0	75229.98000000008	127537.73999999992	0.2931605466512354	37389.033577063106	0.43886029989074454
174	2011	Southwest Airlines Co.	WN	236717.0	64273.08999999991	119556.19000000016	0.2715186910952737	32461.740221137898	0.40865180878913554
175	2012	Southwest Airlines Co.	WN	207204.0	61241.50999999992	97808.43000000001	0.29556142738557134	28908.39918114174	0.4350780350820527
176	2013	Southwest Airlines Co.	WN	287075.0	82679.73000000016	140206.07999999978	0.28800741966385146	40380.39132198347	0.42866888904287603
177	2014	Southwest Airlines Co.	WN	312651.0	94667.05	159292.82	0.3027882527162875	48231.9946380501	0.45705609333745967
178	2015	Southwest Airlines Co.	WN	236626.0	74092.40000000008	113111.15000000001	0.313120282640116	35417.39525774856	0.4627969676102738
179	2016	Southwest Airlines Co.	WN	109491.0	30960.450000000008	52268.200000000004	0.282767076746034	14779.726120777057	0.41775283923589207
182	2003	United Air Lines Inc.	UA	88584.0	16168.160000000009	20931.109999999997	0.18251783617809095	3820.3009060056006	0.22564414460857052
183	2004	United Air Lines Inc.	UA	165619.0	33341.490000000034	40151.540000000015	0.20131440233306586	8083.08327785219	0.2501196920513481
184	2005	United Air Lines Inc.	UA	166478.0	40621.97999999999	44905.53999999995	0.24400809716599184	10957.315367611322	0.30982649579891225
185	2006	United Air Lines Inc.	UA	198922.0	43137.44000000002	63131.05000000003	0.21685605413177034	13690.350396195507	0.285678760500073
186	2007	United Air Lines Inc.	UA	211369.0	44405.15999999999	71885.19999999987	0.2100835978785914	15101.90145022209	0.28153164111209344
187	2008	United Air Lines Inc.	UA	189119.0	44736.150000000016	60927.1200000001	0.23655026729202258	14412.326521333158	0.3127579805378263
188	2009	United Air Lines Inc.	UA	117280.0	27837.73000000001	34738.720000000045	0.2373612721691679	8245.626772728527	0.30766845815764443
189	2010	United Air Lines Inc.	UA	87013.0	22094.36999999999	24507.050000000017	0.2539203337432337	6222.838315062119	0.3254365246004863
190	2011	United Air Lines Inc.	UA	108811.0	28088.360000000015	29491.970000000023	0.25813897491981525	7613.026904165949	0.32810457494339695
191	2012	United Air Lines Inc.	UA	111579.0	37460.87000000001	33496.38999999999	0.33573405389903127	11245.878805682969	0.43652254282331776
192	2013	United Air Lines Inc.	UA	98754.0	30909.619999999995	28577.92000000002	0.31299613180225605	8944.778414954335	0.4035724974679945
193	2014	United Air Lines Inc.	UA	109965.0	36529.78999999995	31774.060000000005	0.33219469831309917	10555.174275882313	0.4281813693073456
194	2015	United Air Lines Inc.	UA	104722.0	38145.920000000006	33104.029999999984	0.36425889497908753	12058.437387154558	0.47940602153467815
195	2016	United Air Lines Inc.	UA	40150.0	12753.91999999999	12849.829999999994	0.3176567870485676	4081.8357119202933	0.4193214374077281
